;;SEZNAM KONTROLNIH ORGANOV ZA POSTOPKE UGOTAVLJANJA SKLADNOSTI VOZIL;;;;;
;;;;;;;
;;;;;;;
;;Velja od 20. decembra  2017;;;;;
;;;;;;;
;;;VRSTA POSTOPKA;;;;
;;;STR. ORGANIZACIJA;TEHNICNA SLUZBA;TEHNICNA SLUZBA;TEHNICNA SLUZBA;TEHNICNA SLUZBA
NAZIV IN NASLOV KONTROLNEGA ORGANA     (po abecednem vrstnem redu );ELEKTRONSKI NASLOV;TELEFON - FAX;IDENTIFIKACIJA IN OCENA TEHNICNEGA STANJA KATEGORIJE VOZILA - IOTSV;POSAMICNA ODOBRITEV KATEGORIJE VOZILA - POV                           (strokovne naloge);POSAMICNA ODOBRITEV PREDELANIH ALI POPRAVLJENIH KATEGORIJE VOZILA - POPV                   ;HOMOLOGACIJA KATEGORIJE VOZILA   (strokovne naloge);VTIS IDENTIFIKACIJSKE STEVILKE VOZILA
A.M. MIKLAVC D.O.O., PE VELENJE, CRNOVA 33 B,    3320 VELENJE;miklavc@gmail.com;tel.: 03 / 897 61 05,          03 / 897 61 06;Kategorije  M1, N1, L, T1, T2 in T3 ;/;Kategorije M1, N1 in L;/;/
AMTC D.O.O.,  IZOLA, INDUSTRIJSKA CESTA 4F, 6310 IZOLA;amtc.vodja@siol.net, vodja.amtciz@tehnicnipregledi.si; tel.: 05 / 641 54 54,           fax. 05 / 640 22 01 ;Kategorije M1, N1 in L;/;Kategorije M1, N1 in L;/;/
AMZS - PE AJDOVSCINA, GORISKA CESTA 75, 5270 AJDOVSCINA ;homologacije.ajdovscina@amzs.si;tel.: 05 / 335 15 39;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D., PE CELJE, LJUBLJANSKA 35,                3000 CELJE;homologacije.celje@amzs.si;tel.: 03 / 425 65 60,               03 / 425 65 88;Kategorije M1in L;/;Kategorije M1;/;/
AMZS D.D., PE CELJE, POSLOVALNICA ROGASKA SLATINA, PRVOMAJSKA 35, 3250 ROGASKA SLATINA;avgust.potocnik@amzs.si;tel.: 03 / 818 57 25;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D., PE CELJE, POSLOVALNICA SEMPETER V SAV. DOLINI, RIMSKA CESTA 98 B, 3311 SEMPETER V SAVINJSKI DOLINI;vodja.amzsse@tehnicnipregledi.si;tel.: 03 / 703 25 08;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D., PE CRNOMELJ, BELOKRANJSKA 30,            8340 CRNOMELJ;marko.maleric@amzs.si;tel.:  07 / 306 18 24;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D., PE DRAVOGRAD, MARIBORSKA 60,                2370 DRAVOGRAD;srecko.fruhauf@amzs.si;tel.: 02 / 878 41 18;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D., PE KOCEVJE, PODJETNISKO NASELJE 14, 1330 KOCEVJE;homologacije.kocevje@amzs.si  ;tel.:  01 / 893 08 40  ;Kategorije M1, N1, L1e in L3e                                    ;/;Kategorije M1, N1, L1e in L3e                                    ;/;/
AMZS D.D., PE KOPER, SERMIN 7 C, 6000 KOPER;homologacije.koper@amzs.si;tel.: 05 / 613 80 13,                   05 / 613 80 20     ;Kategorije M1, N1 in L;/;Kategorije M1, N1 in L;/;/
AMZS D.D., PE KRANJ, BLEIWEISOVA 36, 4000 KRANJ;homologacije.kranj@amzs.si;tel.:  04 / 280 43 12,                04 / 280 43 16 ;Kategorije M1,N1, O1, O2  in L;/;Kategorije M1,N1 in L;/;/
AMZS D.D., PE LJUBLJANA, DUNAJSKA CESTA 128 A, 1000 LJUBLJANA;homologacije.ljubljana@amzs.si;tel.: 01 / 530 53 86,                 01 / 530 51 72       ;Kategorije M1, N, L in O ;Kategorije M1, N, L in O; Kateg. M1, N, L, in O;/;/
AMZS D.D., PE LJUBLJANA LESKOSKOVA, LESKOSKOVA 11,  1000 LJUBLJANA;homologacije.leskoskova@amzs.si;tel.: 01 / 58 63 358,               01 / 58 63 360;Kategorije M1, N1, L, O1 in  O2  ;/;Kategorije M1, N1 in L ;;
AMZS D.D., PE MARIBOR, ZAGREBSKA 25,                 2000 MARIBOR;homologacije.maribor@amzs.si;tel.:02 / 333 88 88                   02 / 333 88 77  ;Kategorije M1, N1 in L;/;Kategorije M1, N1 in L;/;/
AMZS D.D., PE MURSKA SOBOTA, NORSINCI 2,         9000 MURSKA SOBOTA;davorin.damis@amzs.si;tel.: 02 / 530 80 04 ;Kategorije M1,N1, O1, O2  in L;/;Kategorije M1,N1 in L;/;/
AMZS D.D., PE OTOCEC, GRAJSKA CETSA 5,            8222 OTOCEC;homologacije.otocec@amzs.si;tel.:07 / 394 17 00  ;Kategorije M1, N1, L, O1 in O2;/;Kategorije M1,N1 in L;/;/
AMZS D.D.,PE LENART, INDUSTRIJSKA ULICA 26,    2230 LENART;vodja.amzsle@tehnicnipregledi.si;tel.:  02 / 729 57 84;Kategorije M1                                    z ES-homologacijo;/;/;/;/
AMZS D.D.,PE PTUJ, ORMOSKA CESTA 23, 2250 PTUJ;silvo.kralj@amzs.si;tel.: 02 / 749 35 35;Kategorije M1,N1 in L;/;Kategorije M1,N1 in L;/;Vtis identifikacijske Stevilke vozila              
AMZS D.D.,PE SEMPETER, POLJE 4, 5290 SEMPETER PRI GORICI;vodja.amzsng@tehnicnipregledi.si;tel.: 05 / 33 51 538;Kategorije M1                                    z ES-homologacijo;/;/;/;/
